Sl.No,Meter No,RFID,X Coordinate,Y Coordinate,METER_ADDRESS,Pipe size
253,PMC1519033759,10110694072,18.58592,73.86280699999999,1011-069-4072,15
254,PMC1518019508,10130333086,18.58592,73.86280699999999,1013-033-3086,15
255,PMC2018008995,10130362252,18.586353,73.862776,1013-036-2252,20
256,PMC2018009000,10130362257,18.586353,73.862716,1013-036-2257,20
257,PMC2018009002,10130362259,18.585901,73.86291899999999,1013-036-2259,20
258,PMC2018009003,10130362260,18.585884,73.86291999999999,1013-036-2260,20
259,PMC2018009006,10130362263,18.587308,73.86271500000001,1013-036-2263,20
260,PMC1518019449,10130333027,18.591388600000002,73.86443270000001,1013-033-3027,15
261,PMC1518019451,10130333029,18.590833,73.865086,1013-033-3029,15
262,PMC1518019454,10130333032,18.591178,73.865291,1013-033-3032,15
263,PMC1519032961,10110693274,18.591353,73.8648468,1011-069-3274,15
264,PMC1518019499,10130333077,18.591396,73.864876,1013-033-3077,15
265,PMC1518019500,10130333078,18.591396,73.864876,1013-033-3078,15
266,PMC1518019521,10130333099,18.591396,73.864876,1013-033-3099,15
267,PMC1518019524,10130333102,18.591396,73.864876,1013-033-3102,15
268,PMC1518019525,10130333103,18.5910597,73.86527530000001,1013-033-3103,15
269,PMC1518019527,10130333105,18.591396,73.864876,1013-033-3105,15
270,PMC1518019529,10130333107,18.591189399999998,73.86515759999999,1013-033-3107,15
271,PMC1518019530,10130333108,18.591189399999998,73.86515759999999,1013-033-3108,15
272,PMC1518019568,10130333146,18.591547,73.86404399999999,1013-033-3146,15
273,PMC1518019447,10130333025,18.5912361,73.8648914,1013-033-3025,15
274,PMC1518019167,10130332745,18.588853,73.862957,1013-033-2745,15
275,PMC1518019465,10130333043,18.585853,73.862957,1013-033-3043,15
276,PMC1518019466,10130333044,18.587308,73.86271500000001,1013-033-3044,15
277,PMC1518019468,10130333046,18.585838,73.862664,1013-033-3046,15
278,PMC1518019469,10130333047,18.585894,73.862946,1013-033-3047,15
279,PMC1519029345,10110689658,18.585838,73.862664,1011-068-9658,15
280,PMC1518019534,10130333112,18.585889,73.862981,1013-033-3112,15
281,PMC1518019539,10130333117,18.587335999999997,73.862633,1013-033-3117,15
282,PMC2018009004,10130362261,18.587335999999997,73.862633,1013-036-2261,20
283,PMC1518019459,10130333037,18.590977,73.865276,1013-033-3037,15
284,PMC1518019460,10130333038,18.5908843,73.865227,1013-033-3038,15
285,PMC1518019491,10130333069,18.591265,73.8646825,1013-033-3069,15
286,PMC1518019492,10130333070,18.591102,73.8647053,1013-033-3070,15
287,PMC1518019493,10130333071,18.5912742,73.8647952,1013-033-3071,15
288,PMC1518019494,10130333072,18.5913857,73.86485079999999,1013-033-3072,15
289,PMC1518019495,10130333073,18.5913857,73.86485079999999,1013-033-3073,15
290,PMC1518019496,10130333074,18.591148999999998,73.8648418,1013-033-3074,15
291,PMC1518019497,10130333075,18.591102,73.8647053,1013-033-3075,15
292,PMC1518019523,10130333101,18.5908843,73.865227,1013-033-3101,15
293,PMC1518019401,10130332979,18.586378,73.862003,1013-033-2979,15
294,PMC1518019402,10130332980,18.586057999999998,73.86205600000001,1013-033-2980,15
295,PMC1518019404,10130332982,18.586693,73.861941,1013-033-2982,15
296,PMC1518019406,10130332984,18.586693,73.861941,1013-033-2984,15
297,PMC1518019517,10130333095,18.587725,73.861956,1013-033-3095,15
298,PMC1518019553,10130333131,18.586481,73.8619,1013-033-3131,15
299,PMC1519033509,10110693822,18.586693,73.861941,1011-069-3822,15
300,PMC1518019558,10130333136,18.58638,73.862,1013-033-3136,15
301,PMC1518019692,10130333270,18.585887,73.861968,1013-033-3270,15
302,PMC1518019693,10130333271,18.585907000000002,73.862104,1013-033-3271,15
303,PMC1518019694,10130333272,18.586895000000002,73.861845,1013-033-3272,15
304,PMC1518019695,10130333273,18.586288,73.861941,1013-033-3273,15
305,PMC1518019696,10130333274,18.585594,73.86203,1013-033-3274,15
306,PMC1518019697,10130333275,18.585825,73.861987,1013-033-3275,15
307,PMC1518019698,10130333276,18.586104000000002,73.862034,1013-033-3276,15
308,PMC1518019699,10130333277,18.586288,73.861941,1013-033-3277,15
309,PMC1518019700,10130333278,18.586962,73.86183,1013-033-3278,15
310,PMC1518019776,10130333354,18.587564999999998,73.86182099999999,1013-033-3354,15
311,PMC1518019777,10130333355,18.587016000000002,73.861823,1013-033-3355,15
312,PMC1518019778,10130333356,18.587564999999998,73.86182099999999,1013-033-3356,15
313,PMC1518019462,10130333040,18.58711,73.862707,1013-033-3040,15
314,PMC1518019025,10130332603,18.587257,73.862617,1013-033-2603,15
315,PMC1518019166,10130332744,18.585646,73.862974,1013-033-2744,15
316,PMC1518019421,10130332999,18.585514,73.862822,1013-033-2999,15
317,PMC1518019422,10130333000,18.58738,73.862717,1013-033-3000,15
318,PMC1518019423,10130333001,18.58737,73.86261400000001,1013-033-3001,15
319,PMC1518019426,10130333004,18.585507,73.86281899999999,1013-033-3004,15
320,PMC1518019427,10130333005,18.586553,73.86273100000001,1013-033-3005,15
321,PMC1518019428,10130333006,18.587310000000002,73.86261400000001,1013-033-3006,15
322,PMC1518019432,10130333010,18.585552,73.863004,1013-033-3010,15
323,PMC1519033753,10110694066,18.585514,73.863007,1011-069-4066,15
324,PMC1518019434,10130333012,18.585553,73.863012,1013-033-3012,15
325,PMC1518019435,10130333013,18.586347,73.862921,1013-033-3013,15
326,PMC1519033752,10110694065,18.586248,73.862756,1011-069-4065,15
327,PMC1518019438,10130333016,18.585978,73.862797,1013-033-3016,15
328,PMC1518019439,10130333017,18.586112,73.86290600000001,1013-033-3017,15
329,PMC1518019440,10130333018,18.586057999999998,73.86291700000001,1013-033-3018,15
330,PMC1518019461,10130333039,18.58605,73.862902,1013-033-3039,15
331,PMC1518019463,10130333041,18.585707,73.862983,1013-033-3041,15
332,PMC1518019464,10130333042,18.586135000000002,73.862663,1013-033-3042,15
333,PMC1518019506,10130333084,18.585729,73.862983,1013-033-3084,15
334,PMC1518019507,10130333085,18.585814000000003,73.862992,1013-033-3085,15
335,PMC1518019514,10130333092,18.587633,73.862594,1013-033-3092,15
336,PMC1518019519,10130333097,18.585584,73.862806,1013-033-3097,15
337,PMC1518008717,10130299732,18.585667,73.86300200000001,1013-029-9732,15
338,PMC2018008998,10130362255,18.585639,73.862711,1013-036-2255,20
339,PMC2018004784,10130358041,18.585635,73.86279,1013-035-8041,20
340,PMC2018009001,10130362258,18.586112,73.86290600000001,1013-036-2258,20
341,PMC2018009005,10130362262,18.586554,73.86274399999999,1013-036-2262,20
342,PMC1518019073,10130332651,18.586799,73.86183199999999,1013-033-2651,15
343,PMC1518018984,10130332562,18.5860444,73.8623527,1013-033-2562,15
344,PMC1518018985,10130332563,18.5860444,73.8623527,1013-033-2563,15
345,PMC1518018987,10130332565,18.586200100000003,73.8624422,1013-033-2565,15
346,PMC1519033736,10110694049,18.5864874,73.86242309999999,1011-069-4049,15
347,PMC1519033756,10110694069,18.587194,73.862219,1011-069-4069,15
348,PMC1518019039,10130332617,18.587542000000003,73.86219,1013-033-2617,15
349,PMC1518019079,10130332657,18.585982100000003,73.8623818,1013-033-2657,15
350,PMC1519033757,10110694070,18.58553,73.862466,1011-069-4070,15
351,PMC1519033754,10110694067,18.5859074,73.8623818,1011-069-4067,15
352,PMC1518019183,10130332761,18.5857675,73.8625696,1013-033-2761,15
353,PMC1518019187,10130332765,18.58553,73.862466,1013-033-2765,15
354,PMC1518019190,10130332768,18.586033899999997,73.86252940000001,1013-033-2768,15
355,PMC1518019192,10130332770,18.5861219,73.86237779999999,1013-033-2770,15
356,PMC1518019194,10130332772,18.585982100000003,73.8623818,1013-033-2772,15
357,PMC1518019195,10130332773,18.585835,73.8625512,1013-033-2773,15
358,PMC1518019196,10130332774,18.586379,73.862353,1013-033-2774,15
359,PMC1518019198,10130332776,18.5865389,73.86242370000001,1013-033-2776,15
360,PMC1518019573,10130333151,18.5875332,73.8622605,1013-033-3151,15
361,PMC1518019579,10130333157,18.587481399999998,73.8621793,1013-033-3157,15
362,PMC2018008868,10130362125,18.5859521,73.8623818,1013-036-2125,20
363,PMC1518019971,10130333549,18.586109,73.862803,1013-033-3549,15
364,PMC1518019515,10130333093,18.585539800000003,73.8627905,1013-033-3093,15
365,PMC1518019633,10130333211,18.58707,73.86100400000001,1013-033-3211,15
366,PMC1518019634,10130333212,18.58707,73.86100400000001,1013-033-3212,15
